end station name,trips
1 Ave & E 15 St,4162
1 Ave & E 18 St,2767
1 Ave & E 30 St,3162
1 Ave & E 44 St,1829
1 Ave & E 62 St,1955
1 Ave & E 68 St,3362
1 Ave & E 78 St,2279
10 Ave & W 28 St,2886
11 Ave & W 27 St,2600
11 Ave & W 41 St,2587
11 Ave & W 59 St,1682
12 Ave & W 40 St,2744
2 Ave & E 31 St,2910
21 St & 41 Ave,90
21 St & 43 Ave,57
3 Ave & E 62 St,1030
3 Ave & Schermerhorn St,260
31 St & Thomson Ave,91
44 Dr & Jackson Ave,404
45 Rd & 11 St,385
46 Ave & 5 St,716
47 Ave & 31 St,148
48 Ave & 5 St,195
5 Ave & E 29 St,2976
5 Ave & E 63 St,642
5 Ave & E 73 St,727
5 Ave & E 78 St,836
6 Ave & Broome St,1583
6 Ave & Canal St,1259
6 Ave & W 33 St,3590
8 Ave & W 31 St,4402
8 Ave & W 33 St,4812
8 Ave & W 52 St,2305
9 Ave & W 16 St,2923
9 Ave & W 18 St,2469
9 Ave & W 22 St,3575
9 Ave & W 45 St,3077
9 St & 44 Rd,154
Adelphi St & Myrtle Ave,830
Albany Ave & Fulton St,62
Allen St & E Houston St,2492
Allen St & Hester St,2161
Allen St & Rivington St,2513
Amsterdam Ave & W 73 St,2018
Amsterdam Ave & W 82 St,1127
Atlantic Ave & Fort Greene Pl,576
Atlantic Ave & Furman St,400
Avenue D & E 12 St,429
Avenue D & E 3 St,1212
Avenue D & E 8 St,608
Bank St & Hudson St,2269
Bank St & Washington St,1610
Banker St & Meserole Ave,367
Barclay St & Church St,3223
Barrow St & Hudson St,3754
Bayard St & Baxter St,1978
Bedford Ave & Nassau Ave,844
Bedford Ave & S 9 St,130
Berry St & N 8 St,754
Bialystoker Pl & Delancey St,1126
Boerum St & Broadway,262
Bond St & Fulton St,278
Bond St & Schermerhorn St,573
Broad St & Bridge St,998
Broadway & Battery Pl,1580
Broadway & Berry St,679
Broadway & E 14 St,5848
Broadway & E 22 St,5392
Broadway & Roebling St,412
Broadway & W 24 St,3931
Broadway & W 29 St,3041
Broadway & W 32 St,3142
Broadway & W 36 St,1546
Broadway & W 37 St,1500
Broadway & W 39 St,1979
Broadway & W 41 St,2778
Broadway & W 49 St,2836
Broadway & W 51 St,2194
Broadway & W 53 St,1850
Broadway & W 55 St,2667
Broadway & W 58 St,2529
Broadway & W 60 St,2753
Broadway & Whipple St,256
Brooklyn Bridge Park - Pier 2,70
Bus Slip & State St,895
Bushwick Ave & Powers St,271
Cadman Plaza E & Red Cross Pl,237
Cadman Plaza E & Tillary St,171
Cadman Plaza W & Pierrepont St,253
Cadman Plaza West & Montague St,960
Cambridge Pl & Gates Ave,180
Canal St & Rutgers St,2346
Carlton Ave & Flushing Ave,460
Carlton Ave & Park Ave,301
Carmine St & 6 Ave,4664
Catherine St & Monroe St,1093
Center Blvd & Borden Ave,139
Central Park S & 6 Ave,1699
Central Park West & W 68 St,874
Central Park West & W 72 St,716
Central Park West & W 76 St,562
Central Park West & W 85 St,1357
Centre St & Chambers St,1807
Centre St & Worth St,1136
Cherry St,626
Christopher St & Greenwich St,3901
Clark St & Henry St,818
Clermont Ave & Lafayette Ave,281
Clermont Ave & Park Ave,268
Cleveland Pl & Spring St,4535
Cliff St & Fulton St,1425
Clinton Ave & Flushing Ave,217
Clinton Ave & Myrtle Ave,1031
Clinton St & Grand St,1480
Clinton St & Joralemon St,676
Clinton St & Tillary St,314
Columbia Heights & Cranberry St,153
Columbia St & Rivington St,1115
Columbus Ave & W 72 St,1770
Concord St & Bridge St,294
Cumberland St & Lafayette Ave,476
DeKalb Ave & Hudson Ave,1620
DeKalb Ave & S Portland Ave,403
DeKalb Ave & Skillman St,218
DeKalb Ave & Vanderbilt Ave,431
Dean St & 4 Ave,865
Devoe St & Leonard St,304
Division Ave & Hooper St,179
Division Ave & Marcy Ave,41
Division St & Bowery,1766
Driggs Ave & Lorimer St,319
Driggs Ave & N Henry St,535
Duane St & Greenwich St,1293
Duffield St & Willoughby St,513
E 10 St & 5 Ave,2311
E 10 St & Avenue A,3097
E 11 St & 1 Ave,2760
E 11 St & 2 Ave,3076
E 11 St & Broadway,1737
E 12 St & 3 Ave,3290
E 13 St & Avenue A,2468
E 14 St & Avenue B,2702
E 15 St & 3 Ave,3055
E 16 St & 5 Ave,3573
E 16 St & Irving Pl,2711
E 17 St & Broadway,6310
E 19 St & 3 Ave,2024
E 2 St & 2 Ave,2138
E 2 St & Avenue B,2683
E 2 St & Avenue C,1453
E 20 St & 2 Ave,3088
E 20 St & FDR Drive,2775
E 20 St & Park Ave,3387
E 23 St & 1 Ave,3150
E 24 St & Park Ave S,2666
E 25 St & 1 Ave,2318
E 25 St & 2 Ave,2760
E 27 St & 1 Ave,2067
E 3 St & 1 Ave,2685
E 30 St & Park Ave S,2652
E 31 St & 3 Ave,2388
E 32 St & Park Ave,3837
E 33 St & 2 Ave,3404
E 33 St & 5 Ave,2712
E 37 St & Lexington Ave,1414
E 39 St & 2 Ave,3595
E 39 St & 3 Ave,2447
E 4 St & 2 Ave,2706
E 40 St & 5 Ave,1
E 40 St & Madison Ave,2510
E 41 St & Madison Ave,1267
E 43 St & 2 Ave,1131
E 45 St & 3 Ave,1998
E 47 St & 1 Ave,1031
E 47 St & 2 Ave,1762
E 47 St & Park Ave,3870
E 48 St & 3 Ave,1968
E 48 St & 5 Ave,2431
E 5 St & Avenue C,1310
E 51 St & 1 Ave,1128
E 51 St & Lexington Ave,1776
E 52 St & 2 Ave,1848
E 53 St & Lexington Ave,1610
E 53 St & Madison Ave,1672
E 55 St & 2 Ave,1934
E 55 St & 3 Ave,1718
E 55 St & Lexington Ave,1151
E 56 St & Madison Ave,1611
E 58 St & 3 Ave,2756
E 59 St & Madison Ave,1318
E 6 St & Avenue B,2603
E 6 St & Avenue D,923
E 60 St & York Ave,771
E 67 St & Park Ave,1148
E 7 St & Avenue A,2877
E 71 St & 2 Ave,398
E 72 St & Park Ave,1024
E 72 St & York Ave,2220
E 75 St & 3 Ave,1211
E 77 St & 3 Ave,1012
E 77 St & Park Ave,241
E 80 St & 2 Ave,404
E 81 St & 3 Ave,591
E 81 St & Park Ave,452
E 81 St & York Ave,884
E 84 St & 1 Ave,1304
E 84 St & Park Ave,1632
E 85 St & 3 Ave,1904
E 85 St & York Ave,1022
E 9 St & Avenue C,2036
East End Ave & E 86 St,392
Elizabeth St & Hester St,2007
Emerson Pl & Myrtle Ave,442
FDR Drive & E 35 St,1664
Forsyth St & Broome St,2552
Forsyth St & Canal St,1439
Franklin Ave & Myrtle Ave,177
Franklin St & Dupont St,338
Franklin St & W Broadway,1628
Front St & Gold St,376
Front St & Maiden Ln,1128
Front St & Washington St,1030
Frost St & Meeker St,169
Fulton St & Broadway,1114
Fulton St & Clermont Ave,378
Fulton St & Grand Ave,316
Fulton St & Rockwell Pl,690
Fulton St & Utica Ave,240
Fulton St & Washington Ave,704
Fulton St & William St,1498
Gallatin Pl & Livingston St,281
Graham Ave & Conselyea St,765
Graham Ave & Grand St,285
Graham Ave & Herbert St,134
Graham Ave & Withers St,230
Grand Army Plaza & Central Park S,2176
Grand St & Greene St,1726
Grand St & Havemeyer St,658
Great Jones St,3085
Greene Ave & Nostrand Ave,107
Greene Ave & Throop Ave,222
Greenpoint Ave & Manhattan Ave,635
Greenwich Ave & 8 Ave,4682
Greenwich Ave & Charles St,2419
Greenwich St & N Moore St,2381
Greenwich St & W Houston St,2703
Greenwich St & Warren St,3285
Halsey St & Tompkins Ave,260
Hancock St & Bedford Ave,155
Hanson Pl & St Felix St,1375
Harrison St & Hudson St,1321
Henry St & Atlantic Ave,951
Henry St & Grand St,1801
Henry St & Poplar St,208
Hicks St & Montague St,626
Hope St & Union Ave,382
Howard St & Centre St,2137
Hudson St & Reade St,1647
Humboldt St & Varet St,210
Huron St & Franklin St,379
India St & East River,167
India St & Manhattan Ave,452
Jackson Ave & 46 Rd,186
Jay St & Tech Pl,708
John St & William St,1295
Johnson St & Gold St,616
Kent Ave & N 7 St,1297
Kent Ave & S 11 St,545
Kingston Ave & Herkimer St,110
Kosciuszko St & Nostrand Ave,136
Kosciuszko St & Tompkins Ave,175
LaGuardia Pl & W 3 St,3184
Lafayette Ave & Classon Ave,331
Lafayette Ave & Fort Greene Pl,655
Lafayette Ave & St James Pl,339
Lafayette St & E 8 St,6962
Lafayette St & Jersey St,4423
Laight St & Hudson St,730
Lawrence St & Willoughby St,1039
Lefferts Pl & Franklin Ave,422
Leonard St & Bayard St,252
Leonard St & Boerum St,195
Leonard St & Church St,1412
Leonard St & Grand St,369
Leonard St & Manhattan Ave,181
Leonard St & Meeker Ave,130
Lewis Ave & Decatur St,89
Lewis Ave & Kosciuszko St,178
Lewis Ave & Madison St,224
Lexington Ave & Classon Ave,351
Lexington Ave & E 24 St,4274
Lexington Ave & E 29 St,2674
Lexington Ave & E 63 St,1155
Liberty St & Broadway,1709
Lispenard St & Broadway,1849
Little West St & 1 Pl,1672
Lorimer St & Broadway,192
MacDougal St & Prince St,3072
MacDougal St & Washington Sq,2334
Macon St & Nostrand Ave,589
Madison St & Clinton St,1085
Madison St & Montgomery St,930
Maiden Ln & Pearl St,1242
Marcus Garvey Blvd & Macon St,153
Marcy Ave & Lafayette Ave,38
Marcy Ave & MacDonough St,120
Market St & Cherry St,826
McGuinness Blvd & Eagle St,384
McKibbin St & Manhattan Ave,133
Mercer St & Bleecker St,3353
Mercer St & Spring St,1856
Meserole Ave & Manhattan Ave,639
Metropolitan Ave & Bedford Ave,855
Metropolitan Ave & Meeker Ave,593
Milton St & Franklin St,857
