end station name,trips
Monroe St & Bedford Ave,425
Monroe St & Classon Ave,129
Monroe St & Tompkins Ave,8
Montrose Ave & Bushwick Ave,462
Mott St & Prince St,2605
Murray St & West St,1405
Myrtle Ave & Lewis Ave,436
Myrtle Ave & Marcy Ave,187
Myrtle Ave & St Edwards St,220
N 11 St & Wythe Ave,492
N 12 St & Bedford Ave,393
N 15 St & Wythe Ave,144
N 6 St & Bedford Ave,1494
N 8 St & Driggs Ave,1609
N Henry St & Richardson St,517
NYCBS Depot - DEL,28
NYCBS Depot - FAR,19
NYCBS Depot - SSP,16
NYCBS Depot - STY,6
Nassau Ave & Russell St,796
Nassau St & Navy St,205
Norfolk St & Broome St,1547
Norman Ave & Leonard St,327
Nostrand Ave & Myrtle Ave,102
Old Fulton St,431
Old Slip & Front St,1029
PABT Valet,691
Park Ave & Marcus Garvey Blvd,88
Park Ave & St Edwards St,105
Pearl St & Anchorage Pl,666
Pearl St & Hanover Square,2144
Peck Slip & Front St,1357
Penn Station Valet,2056
Perry St & Bleecker St,1477
Pershing Square North,8319
Pershing Square South,3258
Pike St & E Broadway,1653
Pike St & Monroe St,702
Pitt St & Stanton St,630
Pulaski St & Marcus Garvey Blvd,108
Putnam Ave & Nostrand Ave,139
Putnam Ave & Throop Ave,177
Queens Plaza North & Crescent St,705
Railroad Ave & Kay Ave,33
Reade St & Broadway,1526
Riverside Blvd & W 67 St,989
Riverside Dr & W 72 St,807
Riverside Dr & W 78 St,475
Riverside Dr & W 82 St,873
Rivington St & Chrystie St,1393
Roebling St & N 4 St,417
S 3 St & Bedford Ave,543
S 4 St & Rodney St,213
S 4 St & Wythe Ave,694
S 5 Pl & S 4 St,819
S Portland Ave & Hanson Pl,355
Sands St & Navy St,125
Schermerhorn St & Court St,17
Scholes St & Manhattan Ave,212
Shevchenko Pl & E 7 St,2304
South End Ave & Liberty St,3377
South St & Gouverneur Ln,1181
South St & Whitehall St,1104
Spruce St & Nassau St,1199
St James Pl & Oliver St,1276
St James Pl & Pearl St,610
St Marks Pl & 1 Ave,2426
St Marks Pl & 2 Ave,3039
Stagg St & Union Ave,433
Stanton St & Chrystie St,1892
Stanton St & Mangin St,836
State St & Smith St,1148
Suffolk St & Stanton St,2682
Sullivan St & Washington Sq,2427
Throop Ave & Myrtle Ave,63
Tompkins Ave & Hopkins St,154
Union Ave & Jackson St,362
Union Ave & N 12 St,369
Union Ave & Wallabout St,122
University Pl & E 14 St,4209
Vernon Blvd & 50 Ave,985
Vesey Pl & River Terrace,3824
W 11 St & 6 Ave,1598
W 13 St & 5 Ave,2537
W 13 St & 6 Ave,3050
W 13 St & 7 Ave,2644
W 13 St & Hudson St,2157
W 14 St & The High Line,1239
W 15 St & 7 Ave,2996
W 16 St & The High Line,2306
W 17 St & 8 Ave,3597
W 18 St & 6 Ave,4923
W 20 St & 11 Ave,3968
W 20 St & 7 Ave,3170
W 20 St & 8 Ave,2470
W 21 St & 6 Ave,6790
W 22 St & 10 Ave,3291
W 22 St & 8 Ave,3285
W 24 St & 7 Ave,3975
W 25 St & 6 Ave,3117
W 26 St & 10 Ave,2382
W 26 St & 8 Ave,3631
W 27 St & 7 Ave,3815
W 29 St & 9 Ave,2198
W 31 St & 7 Ave,4376
W 33 St & 7 Ave,4254
W 34 St & 11 Ave,994
W 37 St & 10 Ave,2161
W 37 St & 5 Ave,2172
W 38 St & 8 Ave,4225
W 39 St & 9 Ave,3195
W 4 St & 7 Ave S,3089
W 41 St & 8 Ave,5021
W 42 St & 8 Ave,2574
W 43 St & 10 Ave,2880
W 43 St & 6 Ave,2157
W 44 St & 5 Ave,3095
W 45 St & 6 Ave,1897
W 45 St & 8 Ave,2194
W 46 St & 11 Ave,1697
W 47 St & 10 Ave,2096
W 49 St & 8 Ave,2644
W 51 St & 6 Ave,2281
W 52 St & 11 Ave,1479
W 52 St & 5 Ave,2661
W 52 St & 9 Ave,1852
W 53 St & 10 Ave,2067
W 54 St & 9 Ave,758
W 56 St & 10 Ave,2071
W 56 St & 6 Ave,2758
W 59 St & 10 Ave,1035
W 63 St & Broadway,1660
W 64 St & West End Ave,1034
W 67 St & Broadway,1731
W 70 St & Amsterdam Ave,1488
W 74 St & Columbus Ave,758
W 76 St & Columbus Ave,920
W 78 St & Broadway,920
W 82 St & Central Park West,669
W 84 St & Broadway,1646
W 84 St & Columbus Ave,905
W Broadway & Spring St,2764
Warren St,1
Warren St & Church St,1292
Washington Ave & Greene Ave,316
Washington Ave & Park Ave,599
Washington Park,351
Washington Pl & 6 Ave,1677
Washington Pl & Broadway,3116
Washington St & Gansevoort St,2713
Water - Whitehall Plaza,963
Watts St & Greenwich St,1839
West St & Chambers St,3767
West Thames St,1924
William St & Pine St,1287
Willoughby Ave & Hall St,528
Willoughby Ave & Tompkins Ave,203
Willoughby Ave & Walworth St,279
Willoughby St & Fleet St,669
Wythe Ave & Metropolitan Ave,1285
York St & Jay St,1315
