end station name,trips
1 Ave & E 110 St,848
1 Ave & E 16 St,3602
1 Ave & E 18 St,2935
1 Ave & E 30 St,2869
1 Ave & E 39 St,3145
1 Ave & E 44 St,1192
1 Ave & E 5 St,2412
1 Ave & E 62 St,3221
1 Ave & E 68 St,6909
1 Ave & E 78 St,3246
1 Ave & E 94 St,1260
1 Pl & Clinton St,349
10 Ave & W 28 St,2594
10 St & 2 Ave,250
10 St & 5 Ave,420
10 St & 7 Ave,528
11 Ave & W 27 St,1723
11 Ave & W 41 St,3333
11 Ave & W 59 St,1872
11 St & 35 Ave,46
11 St & 43 Ave,197
12 Ave & W 125 St,355
12 Ave & W 40 St,2675
12 St & 4 Ave,357
14 St & 5 Ave,687
14 St & 7 Ave,557
18 St & 27 Ave,17
19 St & 24 Ave,205
2 Ave & 36 St,396
2 Ave & E 104 St,680
2 Ave & E 122 St,319
2 Ave & E 125 St,402
2 Ave & E 31 St,3342
2 Ave & E 72 St,2856
2 Ave & E 96 St,1852
2 Ave & E 99 St,714
21 St & 23 Ave,44
21 St & 31 Dr,472
21 St & 36 Ave,173
21 St & 38 Ave,81
21 St & 43 Ave,183
21 St & Hoyt Ave S,289
21 St & Queens Plaza North,410
23 Ave & 27 St,189
24 Ave & 26 St,152
24 Ave & 29 St,224
24 St & 38 Ave,2
24 St & 41 Ave,290
27 Ave & 3 St,183
27 Ave & 9 St,216
27 St & Hunter St,434
28 Ave & 35 St,342
28 Ave & 44 St,240
28 St & 36 Ave,194
28 St & 41 Ave,415
3 Ave & 14 St,282
3 Ave & Carroll St,278
3 Ave & E 100 St,396
3 Ave & E 112 St,241
3 Ave & E 163 St,97
3 Ave & E 170 St,141
3 Ave & E 172 St,34
3 Ave & E 174 St,95
3 Ave & E 62 St,1406
3 Ave & E 71 St,907
3 Ave & E 72 St,1042
3 Ave & Franklin Ave,64
3 Ave & Schermerhorn St,934
3 St & 3 Ave,583
3 St & 7 Ave,849
3 St & Hoyt St,276
3 St & Prospect Park West,906
30 Ave & 21 St,231
31 Ave & 14 St,218
31 Ave & 30 St,394
31 Ave & 34 St,516
31 Ave & Crescent St,498
31 Ave & Steinway St,629
31 St & 23 Ave,674
31 St & Astoria Blvd,296
31 St & Broadway,710
31 St & Hoyt Ave N,222
31 St & Newtown Ave,844
31 St & Northern Blvd,331
31 St & Thomson Ave,265
34 Ave & 13 St,124
34 Ave & 21 St,183
34 Ave & 31 St,27
34 Ave & 38 St,654
34 St & 35 Ave,294
34th Ave & Vernon Blvd,55
35 Ave & 10 St,195
35 Ave & 37 St,330
35 St & 23 Ave,10
35 St & 34 Ave,257
35 St & Broadway,445
36 Ave & 10 St,254
36 Ave & 31 St,523
37 Ave & 35 St,229
37 St & 24 Ave,229
38 Ave & 29 St,276
39 St & 2 Ave,177
4 Ave & 9 St,461
4 Ave & E 12 St,2323
40 Ave & 9 St,208
40 Ave & Crescent St,217
43 St & Broadway,615
44 Dr & 21 St,546
44 Dr & Jackson Ave,565
45 Rd & 11 St,610
46 Ave & 5 St,764
47 Ave & 31 St,273
47 Ave & Skillman Ave,79
48 Ave & 30 Pl,156
48 Ave & 5 St,177
49 Ave & 21 St,131
5 Av & W 139 St,451
5 Ave & 3 St,978
5 Ave & E 103 St,1549
5 Ave & E 126 St,618
5 Ave & E 135 St,301
5 Ave & E 29 St,2361
5 Ave & E 63 St,1155
5 Ave & E 72 St,2631
5 Ave & E 78 St,1966
5 Ave & E 88 St,2324
5 Ave & E 93 St,982
5 Ave & W 131 St,374
5 St & 51 Ave,113
5 St & 6 Ave,326
6 Ave & 12 St,351
6 Ave & 9 St,545
6 Ave & Broome St,2281
6 Ave & Canal St,892
6 Ave & W 33 St,3798
6 Ave & W 34 St,3206
6 Ave & W 45 St,1900
6 St & 7 Ave,532
7 Ave & Central Park South,2239
7 Ave & Park Pl,830
7 St & 3 Ave,301
7 St & 5 Ave,534
8 Ave & W 16 St,1970
8 Ave & W 31 St,2680
8 Ave & W 33 St,3096
8 Ave & W 38 St,3359
8 Ave & W 52 St,2986
8 St & Astoria Blvd,15
9 Ave & W 18 St,1659
9 Ave & W 22 St,3764
9 Ave & W 28 St,2268
9 Ave & W 45 St,2612
9 St & 44 Rd,128
Adam Clayton Powell Blvd & W 115 St,535
Adam Clayton Powell Blvd & W 118 St,499
Adam Clayton Powell Blvd & W 123 St,634
Adam Clayton Powell Blvd & W 126 St,881
Adam Clayton Powell Blvd & W 130 St,376
Adam Clayton Powell Blvd & W 132 St,435
Adam Clayton Powell Blvd & W 138 St,689
Adam Clayton Powell Blvd & W 141 St,358
Adam Clayton Powell Blvd & W 151 St,113
Adelphi St & Myrtle Ave,824
Albany Ave & Fulton St,156
Alexander Ave & E 134 St,125
Allen St & Hester St,2460
Allen St & Rivington St,2416
Allen St & Stanton St,2492
Amsterdam Ave & W 119 St,325
Amsterdam Ave & W 125 St,476
Amsterdam Ave & W 131 St,110
Amsterdam Ave & W 136 St,125
Amsterdam Ave & W 152 St,111
Amsterdam Ave & W 156 St,96
Amsterdam Ave & W 162 St,147
Amsterdam Ave & W 167 St,152
Amsterdam Ave & W 172 St,91
Amsterdam Ave & W 175 St,53
Amsterdam Ave & W 180 St,34
Amsterdam Ave & W 183 St,140
Amsterdam Ave & W 66 St,929
Amsterdam Ave & W 73 St,3187
Amsterdam Ave & W 82 St,2106
Anderson Ave & W 164 St,21
Astoria Park S & Shore Blvd,404
Atlantic Ave & Fort Greene Pl,1033
Atlantic Ave & Furman St,865
Audobon Ave & W 179 St,78
Avenue C & E 18 St,980
Avenue D & E 10 St,925
Avenue D & E 3 St,1445
Avenue D & E 8 St,1084
Baltic St & 5 Ave,740
Bank St & Hudson St,1972
Bank St & Washington St,1458
Banker St & Meserole Ave,574
Barclay St & Church St,925
Barrow St & Hudson St,1986
Barry St & Tiffany St,5
Bayard St & Baxter St,1779
Bayard St & Leonard St,484
Beaver St & Fayette St,376
Beck St & Leggett Ave,58
Bedford Ave & Bergen St,781
Bedford Ave & Montgomery St,220
Bedford Ave & Nassau Ave,1136
Bedford Ave & S 9 St,271
Bergen Ave & E 152 St,94
Bergen St & Flatbush Ave,731
Bergen St & Smith St,1723
Bergen St & Vanderbilt Ave,756
Berkeley Pl & 6 Ave,445
Berkeley Pl & 7 Ave,897
Berry St & N 8 St,1322
Bialystoker Pl & Delancey St,865
Boerum St & Broadway,437
Bond St & Bergen St,595
Bond St & Fulton St,1190
Boone Ave & E 172 St,55
Boston Rd & E 167 St,51
Boston Rd & Prospect Ave,28
Bradhurst Ave & W 148 St,303
Broad St & Bridge St,548
Broadway & 12 St,273
Broadway & Battery Pl,1520
Broadway & Berry St,1029
Broadway & E 14 St,4406
Broadway & E 22 St,3859
Broadway & Furman Ave,45
Broadway & Hancock St,186
Broadway & Kosciuszko St,237
Broadway & Madison St,327
Broadway & Moylan Pl,514
Broadway & Roebling St,787
Broadway & W 122 St,401
Broadway & W 131 St,294
Broadway & W 133 St,266
Broadway & W 153 St,114
Broadway & W 155 St,167
Broadway & W 160 St,291
Broadway & W 165 St,290
Broadway & W 25 St,3616
Broadway & W 29 St,2526
Broadway & W 36 St,1468
Broadway & W 37 St,1038
Broadway & W 38 St,1778
Broadway & W 41 St,2433
Broadway & W 49 St,2023
Broadway & W 51 St,1475
Broadway & W 53 St,1905
Broadway & W 56 St,2526
Broadway & W 58 St,2980
Broadway & W 60 St,4345
Broadway & Whipple St,637
Bronx Shore Comfort Station,105
Brook Ave & E 138 St,156
Brook Ave & E 141 St,44
Brook Ave & E 148 St,96
Brook Ave & E 157 St,51
Brooklyn Bridge Park - Pier 2,417
Bruckner Blvd & Bryant Ave,26
Bus Slip & State St,441
Bushwick Ave & Dekalb Ave,142
Bushwick Ave & Forrest St,182
Bushwick Ave & Furman Ave,25
Bushwick Ave & Harman St,208
Bushwick Ave & Linden St,177
Bushwick Ave & McKibbin St,176
Bushwick Ave & Powers St,357
Bushwick Ave & Stagg St,137
Butler St & Court St,441
Cabrini Blvd & W 177 St,137
Cadman Plaza E & Johnson St,214
Cadman Plaza E & Red Cross Pl,714
Cadman Plaza E & Tillary St,421
Calyer St & Jewel St,381
Cambridge Pl & Gates Ave,603
Canal St & Rutgers St,2817
Carlton Ave & Dean St,652
Carlton Ave & Flushing Ave,466
Carlton Ave & Park Ave,390
Carmine St & 6 Ave,3259
Carroll St & 5 Ave,786
Carroll St & 6 Ave,587
Carroll St & Bond St,367
Carroll St & Columbia St,439
Carroll St & Franklin Ave,193
Carroll St & Smith St,765
Carroll St & Washington Ave,113
Cathedral Pkwy & Broadway,1582
Catherine St & Monroe St,1162
Cauldwell Ave & E 158 St,23
Cauldwell Ave & E 161 St,33
Cedar St & Evergreen Ave,99
Cedar St & Myrtle Ave,148
Center Blvd & 48 Ave,253
Center Blvd & 51 Ave,488
Central Ave & Covert St,53
Central Ave & Decatur St,102
Central Ave & Flushing Ave,242
Central Ave & Himrod St,200
Central Ave & Melrose St,145
Central Ave & Starr Street,164
Central Ave & Weirfield St,164
Central Ave & Woodbine St,132
Central Park North & Adam Clayton Powell Blvd,2036
Central Park S & 6 Ave,2557
Central Park W & W 103 St,895
Central Park W & W 91 St,1340
Central Park W & W 97 St,1630
Central Park West & W 68 St,2574
Central Park West & W 72 St,3015
Central Park West & W 76 St,1852
Central Park West & W 85 St,1703
Centre St & Chambers St,1708
Centre St & Seneca Ave,56
Centre St & Worth St,862
Charlotte St & Boston Rd,3
Cherry St,1234
Christopher St & Greenwich St,3403
Clark St & Henry St,1330
Classon Ave & St Marks Ave,577
Clay Ave & Claremont Pkwy,101
Clay Ave & E 173 St,44
Clermont Ave & Lafayette Ave,418
Clermont Ave & Park Ave,345
Cleveland Pl & Spring St,3757
Cliff St & Fulton St,1335
Clinton Ave & Flushing Ave,367
Clinton Ave & Myrtle Ave,1047
Clinton St & 4 Place,435
Clinton St & Centre St,236
Clinton St & Grand St,3750
Clinton St & Joralemon St,1031
Clinton St & Tillary St,576
Clinton St & Union St,590
Coffey St & Conover St,217
College Ave & E 170 St,34
Columbia Heights & Cranberry St,387
Columbia St & Degraw St,376
Columbia St & Kane St,431
Columbia St & Lorraine St,47
Columbia St & Rivington St,1285
Columbia St & W 9 St,86
Columbus Ave & W 103 St,359
Columbus Ave & W 72 St,2739
Columbus Ave & W 95 St,2570
Columbus Dr at Exchange Pl,1
Commerce St & Van Brunt St,283
Concord St & Bridge St,490
Concourse Village East & E 158 St,81
Concourse Village West & E 156 St,51
Congress St & Clinton St,791
Convent Ave & W 135 St,146
Convent Ave & W 151 St,77
Cooper Square & Astor Pl,2319
Court St & Nelson St,389
Court St & State St,1247
Courtlandt Ave & E 149 St,117
Courtlandt Ave & E 157 St,57
Crescent St & 30 Ave,465
Crescent St & 34 Ave,378
Crescent St & 35 Ave,284
Crescent St & Broadway,715
Crescent St & Ditmars Blvd,241
Crotona Park East & E 173 St,16
Crotona Park North & Prospect Ave,47
Cumberland St & Lafayette Ave,644
Cypress Ave & George St,43
Cypress Ave & Palmetto St,52
Dawson St & Intervale Ave,10
DeKalb Ave & Franklin Ave,581
DeKalb Ave & Hudson Ave,889
DeKalb Ave & S Portland Ave,888
DeKalb Ave & Vanderbilt Ave,753
Dean St & 4 Ave,979
Dean St & Franklin Ave,821
Dean St & Hoyt St,587
Degraw St & Hoyt St,399
Degraw St & Smith St,558
Delancey St & Eldridge St,715
Devoe St & Lorimer St,736
Devoe St & Morgan Ave,268
Ditmars Blvd & 19 St,273
Division Ave & Hooper St,380
Division Ave & Marcy Ave,165
Division St & Bowery,1454
Dock 72 Way & Market St,536
Douglass St & 3 Ave,518
Douglass St & 4 Ave,493
Driggs Ave & Lorimer St,559
Driggs Ave & N 9 St,1238
Driggs Ave & N Henry St,655
Duane St & Greenwich St,766
Duffield St & Willoughby St,818
Dwight St & Van Dyke St,160
E 10 St & Avenue A,2977
E 102 St & 1 Ave,1231
E 102 St & Park Ave,733
E 103 St & Lexington Ave,787
E 106 St & 1 Ave,535
E 106 St & Lexington Ave,645
E 106 St & Madison Ave,499
E 109 St & 3 Ave,499
E 11 St & 1 Ave,2288
E 11 St & 2 Ave,2688
E 11 St & Avenue B,2110
E 110 St & Madison Ave,1015
E 114 St & 1 Ave,467
E 115 St & Lexington Ave,579
E 115 St & Madison Ave,383
E 116 St & 2 Ave,527
E 118 St & 1 Ave,499
E 118 St & 3 Ave,624
E 118 St & Madison Ave,528
E 118 St & Park Ave,241
E 12 St & 3 Ave,1876
E 123 St & Lexington Ave,235
E 128 St & 3 Ave,35
E 128 St & Madison Ave,277
E 13 St & Avenue A,4508
E 132 St & Madison Ave,323
E 133 St & Cypress Pl,17
E 134 St & Walnut Ave,33
E 135 St & St Ann's Ave,101
E 138 St & 5 Av,346
E 138 St & Canal St W,68
E 138 St & Cypress Ave,63
E 138 St & Grand Concourse,73
E 138 St & Willow Ave,39
E 141 St & Jackson Ave,22
E 141 St & St Ann's Ave,109
E 142 St & 3 Ave,73
E 144 St & Brook Ave,51
E 147 St & Bergen Ave,118
E 149 St & Eagle Ave,61
E 149 St & Jackson Ave,65
E 149 St & Morris Ave,259
E 149 St & Park Ave,104
E 15 St & 3 Ave,2727
E 150 St & Gerard Ave,130
E 153 St & E 157 St,54
E 155 St & Courtlandt Ave,34
E 156 & Brook Ave,201
E 157 St & River Ave,103
E 158 St & Melrose Ave,58
E 16 St & 5 Ave,2422
E 16 St & Irving Pl,1215
E 160 St & Tinton Ave,32
E 161 St & Park Ave,115
E 161 St & River Ave,280
E 163 St & Tiffany St,30
E 163 St & Union Ave,51
E 165 St & Clay Ave,73
E 165 St & Fox St,15
E 165 St & Jerome Ave,20
E 167 St & Bryant Ave,25
E 167 St & Clay Ave,72
E 167 St & Franklin Ave,38
E 169 St & Fox St,25
E 169 St & Webster Ave,75
E 17 St & Broadway,5944
E 170 St & Clay Ave,40
E 170 St & Webster Ave,113
E 171 St & Webster Ave,90
E 174 St & Longfellow Ave,77
E 174 St & Walton Ave,114
E 19 St & 3 Ave,2170
E 2 St & 2 Ave,1856
E 2 St & Avenue A,2510
E 2 St & Avenue B,2536
E 2 St & Avenue C,1651
E 20 St & 2 Ave,2607
E 20 St & FDR Drive,2205
E 20 St & Park Ave,2420
E 23 St & 1 Ave,2874
E 25 St & 1 Ave,1866
E 25 St & 2 Ave,2856
E 27 St & 1 Ave,3913
E 30 St & Park Ave S,1257
E 31 St & 3 Ave,2750
E 32 St & Park Ave,2454
E 33 St & 1 Ave,4246
E 33 St & 5 Ave,1296
E 39 St & Lexington Ave,2538
E 4 St & 2 Ave,2520
E 41 St & Madison Ave,1441
E 43 St & 2 Ave,1335
E 43 St & 5 Ave,1436
E 44 St & 2 Ave,807
E 45 St & 3 Ave,1271
E 47 St & 1 Ave,1035
E 47 St & 2 Ave,1396
E 47 St & Park Ave,1709
E 48 St & 3 Ave,1114
E 48 St & 5 Ave,2139
E 5 St & Avenue C,1498
E 50 St & Park Ave,364
E 51 St & 1 Ave,1419
E 51 St & 2 Ave,1549
E 51 St & Lexington Ave,1128
E 53 St & 3 Ave,1130
E 53 St & Lexington Ave,1247
E 53 St & Madison Ave,1578
E 54 St & 1 Ave,93
E 55 St & 2 Ave,2343
E 56 St & 3 Ave,1307
E 56 St & Madison Ave,1082
E 58 St &  1 Ave (NW Corner),1414
E 58 St & 1 Ave (NE Corner),739
