end station name,trips
E 58 St & 3 Ave,2927
E 58 St & Madison Ave,981
E 59 St & Madison Ave,1315
E 6 St & Avenue B,1259
E 6 St & Avenue D,1844
E 60 St & York Ave,654
E 63 St & 3 Ave,1097
E 65 St & 2 Ave,1440
E 66 St & Madison Ave,706
E 67 St & Park Ave,552
E 68 St & 3 Ave,941
E 68 St & Madison Ave,492
E 7 St & Avenue A,3149
E 72 St & Park Ave,1065
E 72 St & York Ave,3135
E 74 St & 1 Ave,2319
E 75 St & 3 Ave,1183
E 76 St & Park Ave,1434
E 77 St & 3 Ave,1353
E 78 St & 2 Ave,1036
E 81 St & 2 Ave,1355
E 81 St & 3 Ave,1216
E 81 St & Park Ave,636
E 81 St & York Ave,1411
E 82 St & East End Ave,1011
E 84 St & 1 Ave,1989
E 84 St & Park Ave,1111
E 85 St & 3 Ave,3034
E 85 St & York Ave,1124
E 88 St & 1 Ave,1887
E 88 St & Park Ave,1168
E 89 St & 3 Ave,1387
E 89 St & York Ave,1391
E 9 St & Avenue C,1201
E 91 St & 2 Ave,1734
E 91 St & Park Ave,1069
E 93 St & 2 Ave,925
E 95 St & 3 Ave,668
E 97 St & 3 Ave,421
E 97 St & Madison Ave,1345
E 98 St & Park Ave,609
East End Ave & E 86 St,725
Eastern Pkwy & Franklin Ave,636
Eastern Pkwy & Washington Ave,395
Edgecombe Ave & W 141 St,510
Edgecombe Ave & W 145 St,475
Edgecombe Ave & W 150 St,81
Edgecombe Ave & W 167 St,53
Eldert St & Bushwick Ave,60
Emerson Pl & Myrtle Ave,777
Engert Ave & McGuinness Blvd,270
Evergreen Ave & Noll St,194
FDR Drive & E 35 St,2656
Faile St & Garrison Ave,3
Fairview Ave & Linden St,101
Flushing Ave & Vanderbilt Ave,944
Flushing Ave & Woodward Ave,132
Forest Ave & Summerfield St,215
Forsyth St & Broome St,2025
Forsyth St & Canal St,2354
Fort Washington Ave & W 173 St,203
Fort Washington Ave & W 183 St,321
Franklin Ave & E 169 St,45
Franklin Ave & Myrtle Ave,332
Franklin Ave & St Marks Ave,378
Franklin St & Dupont St,892
Franklin St & W Broadway,1171
Frederick Douglass Blvd & Harlem River Dr,73
Frederick Douglass Blvd & W 112 St,1430
Frederick Douglass Blvd & W 115 St,959
Frederick Douglass Blvd & W 117 St,1573
Frederick Douglass Blvd & W 129 St,336
Frederick Douglass Blvd & W 145 St,287
Freeman St & Reverend James A Polite Ave,38
Freeman St & Southern Blvd,47
Front St & Gold St,616
Front St & Jay St,1044
Front St & Maiden Ln,789
Front St & Washington St,1529
Frost St & Debevoise Ave,191
Frost St & Meeker Ave,315
Fulton Ave & E 168 St,92
Fulton Ave & E 172 St,12
Fulton Ave & St. Paul's Pl,51
Fulton St & Adams St,1050
Fulton St & Broadway,1933
Fulton St & Clermont Ave,477
Fulton St & Irving Pl,499
Fulton St & Utica Ave,482
Fulton St & Waverly Ave,771
Fulton St & William St,1122
Gansevoort St & Hudson St,1832
Garfield Pl & 8 Ave,583
Garrison Ave & Manida St,9
George St & Wilson Ave,222
Gerard Ave & E 146 St,47
Gerard Ave & E 164 St,42
Gerard Ave & E 165 St,59
Gerard Ave & McClellan St,44
Glenwood Ave,1
Goble Pl & Macombs Rd,95
Graham Ave & Conselyea St,905
Graham Ave & Grand St,817
Graham Ave & Herbert St,303
Graham Ave & Withers St,588
Grand Army Plaza & Central Park S,2920
Grand Army Plaza & Plaza St West,1110
Grand Ave & Bergen St,486
Grand Concourse & E 144 St,107
Grand Concourse & E 156 St,23
Grand Concourse & E 161 St,163
Grand Concourse & E 164 St,80
Grand Concourse & E 166 St,86
Grand Concourse & E 167 St,111
Grand Concourse & E 171 St,125
Grand Concourse & East Mount Eden Ave,92
Grand St & Elizabeth St,4092
Grand St & Greene St,1477
Grand St & Havemeyer St,814
Grant Ave & E 164 St,153
Grant Ave & E 169 St,114
Great Jones St,2706
Green St & McGuinness Blvd,162
Greene Av & Myrtle Av,182
Greene Ave & Grandview Ave,89
Greene Ave & Nostrand Ave,378
Greene Ave & Throop Ave,496
Greenpoint Ave & Manhattan Ave,722
Greenwich Ave & 8 Ave,3526
Greenwich Ave & Charles St,1669
Greenwich St & Hubert St,434
Greenwich St & W Houston St,2040
Grove St & Broadway,374
Halsey St & Broadway,237
Halsey St & Evergreen Ave,97
Halsey St & Tompkins Ave,493
Hamilton Park,1
Hamilton Pl & W 138 St,138
Hamilton Pl & W 140 St,222
Hancock St & Bedford Ave,419
Hancock St & Wyckoff Ave,83
Hanson Pl & Ashland Pl,1781
Harlem River Dr & W 155 St,53
Harman St & Seneca Ave,96
Harrison Pl & Porter Ave,187
Harrison St & Hudson St,545
Hart St & Wyckoff Ave,140
Heights Elevator,2
Henry St & Atlantic Ave,979
Henry St & Bay St,138
Henry St & Degraw St,590
Henry St & Grand St,2578
Henry St & Middagh St,357
Henry St & W 9 St,70
Hicks St & Montague St,1031
Hoe Ave & Jennings St,12
Hope St & Union Ave,961
Howard St & Centre St,1723
Hoyt St & Warren St,211
Hudson St & Reade St,1111
Hudson St & W 13 St,423
Humboldt St & Varet St,305
Hunts Point Ave & Bryant Ave,27
Huron St & Franklin St,756
Icahn Stadium,251
India St & Manhattan Ave,703
India St & West St,580
Intervale Ave & Kelly St,47
Intervale Ave & Westchester Ave,77
Inwood Ave & W 170 St,34
Irving Ave & DeKalb Ave,193
Irving Ave & Halsey St,142
Irving Ave & Harman St,224
Irving Ave & Jefferson St,318
Irving Ave & Palmetto St,123
Jackson Ave & 46 Rd,333
Jackson St & Leonard St,242
Jay St & Tech Pl,982
Jay St & York St,1180
Jefferson Ave & Evergreen Ave,200
Jefferson St & Cypress Ave,185
Jerome Ave & Anderson Ave,46
Jerome Ave & E 164 St,85
Jerome Ave & Ogden Ave,15
John St & William St,947
Johnson St & Gold St,745
Kane St & Clinton St,534
Kent Ave & N 7 St,2043
Kent Ave & S 11 St,936
Kent St & McGuinness Blvd,203
Kingsland Ave & Nassau Ave,640
Kingston Ave & Herkimer St,546
Knickerbocker Ave & Cooper St,84
Knickerbocker Ave & George St,256
Knickerbocker Ave & Halsey St,116
Knickerbocker Ave & Hancock St,97
Knickerbocker Ave & Thames St,343
Kosciuszko St & Nostrand Ave,403
Kosciuszko St & Tompkins Ave,354
LaGuardia Pl & W 3 St,2086
Lafayette Ave & Classon Ave,580
Lafayette Ave & Fort Greene Pl,1136
Lafayette Ave & Hunts Point Ave,21
Lafayette Ave & St James Pl,590
Lafayette St & E 8 St,3014
Lafayette St & Jersey St,2770
Laight St & Hudson St,404
Lawrence St & Willoughby St,1110
Lefferts Pl & Franklin Ave,367
Lenox Ave & W 111 St,1344
Lenox Ave & W 115 St,692
Lenox Ave & W 117 St,1094
Lenox Ave & W 126 St,1374
Lenox Ave & W 130 St,566
Lenox Ave & W 133 St,369
Lenox Ave & W 144 St,239
Lenox Ave & W 146 St,141
Leonard St & Boerum St,268
Leonard St & Church St,1313
Leonard St & Maujer St,676
Leonard St & Nassau Ave,786
Lewis Ave & Decatur St,303
Lewis Ave & Kosciuszko St,356
Lewis Ave & Madison St,604
Lexington Ave & Classon Ave,471
Lexington Ave & E 111 St,781
Lexington Ave & E 120 St,474
Lexington Ave & E 127 St,187
Lexington Ave & E 128 St,140
Lexington Ave & E 24 St,722
Lexington Ave & E 26 St,2544
Lexington Ave & E 29 St,2029
Lexington Ave & E 36 St,1860
Liberty St & Nassau St,754
Lincoln Ave & E 134 St,94
Lincoln Ave & E 138 St,211
Lincoln Pl & Classon Ave,179
Linden St & Knickerbocker Ave,44
Lispenard St & Broadway,1657
Little West St & 1 Pl,2321
Longfellow Ave & E 165 St,34
Longwood Ave & Southern Blvd,71
Lorimer St & Broadway,122
Lorimer St & Calyer St,517
Louis Nine Blvd & Intervale Ave,22
MacDougal St & Prince St,2338
MacDougal St & Washington Sq,1642
Macombs Pl & W 152 St,138
Macon St & Nostrand Ave,671
Madison Av & E 51 St,1253
Madison Ave & E 120 St,353
Madison Ave & E 26 St,1462
Madison Ave & E 82 St,1159
Madison Ave & E 99 St,1060
Madison St & Clinton St,1257
Madison St & Cypress Ave,95
Madison St & Evergreen Ave,84
Madison St & Forest Ave,151
Madison St & Montgomery St,997
Madison St & Seneca Ave,111
Madison St & Woodward Ave,130
Maiden Ln & Pearl St,695
Manhattan Av & Leonard St,266
Marcus Garvey Blvd & Macon St,338
Marcy Ave & Lafayette Ave,329
Market St & Cherry St,977
McGuinness Blvd & Eagle St,774
McKibbin St & Bogart St,382
McKibbin St & Manhattan Ave,362
Melrose Ave & E 150 St,259
Melrose Ave & E 154 St,62
Melrose St & Broadway,334
Menahan St & Central Ave,94
Menahan St & Onderdonk Ave,97
Menahan St & Seneca Ave,113
Menahan St & Wyckoff Ave,132
Mercer St & Bleecker St,2081
Mercer St & Spring St,2123
Meserole Ave & Manhattan Ave,937
Metropolitan Ave & Bedford Ave,2175
Metropolitan Ave & Meeker Ave,622
Metropolitan Ave & Stewart Ave,50
Metropolitan Ave & Vandervoort Ave,47
Milton St & Franklin St,1204
Moffat St & Bushwick,77
Monroe St & Bedford Ave,622
Monroe St & Classon Ave,291
Monroe St & Tompkins Ave,560
Montague St & Clinton St,916
Montgomery St & Franklin Ave,101
Montrose Ave & Bushwick Ave,570
Morgan Ave & Lombardy St,284
Morgan Ave & Maspeth Ave,190
Morningside Ave & W 123 St,554
Morningside Dr & Amsterdam Ave,236
Morris Ave & E 142 St,106
Morris Ave & E 153 St,29
Morris Ave & E 163 St,2
Morris Ave & E 171 St,1
Morris Ave & McClellan St,93
Motorgate,643
Mott St & Prince St,2855
Mount Eden Pkwy & Eastburn Ave,35
Mt Morris Park W & W 120 St,700
Murray St & Greenwich St,2161
Murray St & West St,1262
Myrtle Ave & Grove St,76
Myrtle Ave & Lewis Ave,230
Myrtle Ave & Linden St,260
Myrtle Ave & Marcy Ave,331
Myrtle Ave & St Edwards St,458
N 11 St & Kent Ave,360
N 12 St & Bedford Ave,718
N 15 St & Wythe Ave,324
N 6 St & Bedford Ave,1698
Nassau Ave & Newell St,644
Nassau Ave & Russell St,706
Nassau St & Navy St,728
Nelson Ave & W 172 St,111
Newport PATH,1
Newton Rd & 44 St,296
Newtown Ave & 23 St,513
Norfolk St & Broome St,2534
Norman St & Wyckoff Ave,198
North Moore St & Greenwich St,1335
Nostrand Ave & Myrtle Ave,350
Ogden Ave & Merriam Ave,20
Ogden Ave & W 164 St,113
Ogden Ave & W 165 St,60
Old Broadway & W 133 St,56
Old Fulton St,831
Old Slip & South St,238
Onderdonk Ave & Dekalb Ave,129
Onderdonk Ave & Gates Ave,128
Pacific St & Classon Ave,120
Pacific St & Nevins St,599
Park Ave & E 124 St,1000
Park Ave & E 162 St,84
Park Ave & Marcus Garvey Blvd,362
Park Ave & St Edwards St,317
Park Pl & Church St,724
Park Pl & Franklin Ave,397
Park Pl & Vanderbilt Ave,754
Paulus Hook,1
Pearl St & Hanover Square,1339
Pearl St & Peck Slip,1049
Perry St & Bleecker St,1764
Perry St & Greenwich Ave,1074
Pershing Square North,3806
Pershing Square South,1649
Pier 40 - Hudson River Park,2625
Pierrepont St & Monroe Pl,514
Pike St & E Broadway,1797
Pike St & Monroe St,1233
Pioneer St & Richards St,75
Pioneer St & Van Brunt St,213
Pitt St & Stanton St,462
Plaza Dr & W 170 St,127
Plaza St West & Flatbush Ave,657
Pleasant Ave & E 116 St,1556
Pleasant Ave & E 120 St,412
Powers St & Olive St,211
President St & Henry St,401
Prospect Ave & E 151 St,71
Prospect Ave & E 167 St,63
Prospect Ave & Jennings St,9
Prospect Ave & Longwood Ave,49
Prospect Park West & 8 St,665
Prospect Pl & 6 Ave,420
Prospect Pl & Underhill Ave,422
Pulaski St & Marcus Garvey Blvd,293
Putnam Ave & Knickerbocker Ave,108
Putnam Ave & Nostrand Ave,246
Putnam Ave & Throop Ave,366
Putnam Ave & Wyckoff Ave,127
Queens Plaza North & Crescent St,1633
Railroad Ave & Kay Ave,66
Reade St & Broadway,1046
Richards St & Delavan St,117
Richardson St & N Henry St,365
River Ave & E 151 St,330
River Ave & E 153 St,185
River Ave & McClellan St,66
Riverside Blvd & W 67 St,1727
Riverside Dr & W 104 St,987
Riverside Dr & W 138 St,237
Riverside Dr & W 145 St,191
Riverside Dr & W 148 St,228
Riverside Dr & W 153 St,174
Riverside Dr & W 72 St,1594
Riverside Dr & W 78 St,599
