,end station name,end station latitude,end station longitude
177,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394
179,W 13 St & 5 Ave,40.735445,-73.99431
181,Wall St & South St,40.704370000000004,-74.00636999999999
182,Brook Ave & E 138 St,40.807408,-73.91924
183,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
184,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097
186,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
188,Central Ave & Flushing Ave,40.702831,-73.9333
189,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915
191,Washington Pl & 6 Ave,40.73224119,-74.00026394
193,Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057
194,Avenue D & E 10 St,40.72506551015475,-73.97515833377837
196,Harrison Pl & Porter Ave,40.70686,-73.92851
197,Pershing Square North,40.751872999999996,-73.97770600000001
199,E 123 St & Lexington Ave,40.802926299999996,-73.9379
200,31 St & Astoria Blvd,40.76991760000001,-73.91840570000001
201,W 78 St & Amsterdam Ave,40.782535857724106,-73.97908508777618
202,W 18 St & 6 Ave,40.73971301,-73.99456405
203,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099
207,E 51 St & Lexington Ave,40.75714758,-73.97207836
208,W 22 St & 10 Ave,40.74691959,-74.00451887
209,E 167 St & Clay Ave,40.830940000000005,-73.91125
213,Concourse Village East & E 158 St,40.823732,-73.919379
215,White St & Moore St,40.704508000000004,-73.9351
216,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937
217,Queens Plaza North & Crescent St,40.75110165,-73.94073717
218,Broadway & E 14 St,40.73454567,-73.99074142
220,Bond St & Bergen St,40.6849668,-73.98620772
221,E 5 St & Avenue C,40.72299208,-73.97995466
222,Madison St & Forest Ave,40.70555,-73.90245
223,Lispenard St & Broadway,40.71939226,-74.00247214
224,Columbia Heights & Cranberry St,40.70037867,-73.99548059
225,University Pl & E 8 St,40.73143724085228,-73.99490341544151
226,8 Ave & W 33 St,40.751551,-73.993934
227,Central Park W & W 103 St,40.79603684159984,-73.96158903853575
228,E 13 St & Avenue A,40.72966729392978,-73.98067966103555
229,Broadway & W 153 St,40.831327,-73.946665
232,W 37 St & 10 Ave,40.75660359,-73.9979009
233,McKibbin St & Manhattan Ave,40.70510918,-73.94407279
234,Johnson St & Gold St,40.69474881,-73.98362464
235,Centre St & Seneca Ave,40.699690000000004,-73.9022
236,E 32 St & Park Ave,40.745712100000006,-73.98194829
238,Columbus Ave & W 72 St,40.7770575,-73.97898475
239,Gerard Ave & E 165 St,40.83173,-73.922394
240,St James Pl & Oliver St,40.71307916,-73.99851193
244,Center Blvd & 48 Ave,40.745038,-73.957539
245,Avenue D & E 3 St,40.72082834,-73.97793172
246,W 46 St & 11 Ave,40.76341379,-73.99667444
248,E 2 St & Avenue B,40.72217444,-73.98368779
249,Lenox Ave & W 130 St,40.8107922,-73.9430681
250,1 Ave & E 68 St,40.76500525,-73.95818491
251,Courtlandt Ave & E 157 St,40.822267,-73.916792
252,Melrose St & Broadway,40.697480999999996,-73.935877
254,E 81 St & York Ave,40.7728384,-73.94989233
255,4 Ave & E 12 St,40.732647,-73.99011
257,Somers St & Broadway,40.67945,-73.90474
258,Columbus Ave & W 103 St,40.7969347,-73.9643412291
260,E 7 St & Avenue A,40.72621788,-73.98379855
262,6 Ave & W 33 St,40.74901271,-73.98848395
263,E 12 St & 3 Ave,40.73223272,-73.98889957
265,E 17 St & Broadway,40.73704984,-73.99009296
266,Carroll St & 5 Ave,40.6751622,-73.9814832
269,W 45 St & 8 Ave,40.75929124,-73.98859651
270,Broadway & W 53 St,40.76344058,-73.98268129
271,Irving Ave & Halsey St,40.69467,-73.90663
272,Allen St & Stanton St,40.722055,-73.989111
273,W 27 St & 7 Ave,40.746646999999996,-73.993915
275,35 St & Broadway,40.760339,-73.9222427
276,Avenue C & E 18 St,40.730563000000004,-73.973984
278,Courtlandt Ave & E 149 St,40.816402000000004,-73.919549
279,2 Ave & E 96 St,40.7839636,-73.94716729999999
280,W 92 St & Broadway,40.7921,-73.9739
282,E 53 St & Lexington Ave,40.75828065,-73.97069431
283,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
284,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
287,E 20 St & Park Ave,40.73827428,-73.98751968
290,Henry St & Grand St,40.714211,-73.981095
291,State St & Smith St,40.68926942,-73.98912867
295,Bushwick Ave & Linden St,40.69146,-73.92146
296,E 163 St & Union Ave,40.822545,-73.901824
300,Hudson St & Reade St,40.71625008,-74.0091059
302,Bank St & Hudson St,40.73652889,-74.00618026
303,W 53 St & 10 Ave,40.76669671,-73.99061728
304,31 St & Thomson Ave,40.74469738,-73.93540375
305,Garrison Ave & Manida St,40.818743,-73.890247
307,Warren St & Court St,40.686371,-73.99383324
308,Lenox Ave & W 117 St,40.8025566,-73.9490782
310,Howard St & Centre St,40.71910537,-73.99973337
311,E 102 St & Park Ave,40.7904828,-73.95033068
313,Bedford Ave & S 9 St,40.70853074,-73.96408963
315,Lenox Ave & W 126 St,40.808442,-73.94520870000001
317,W 52 St & 11 Ave,40.76727216,-73.99392888
319,Bedford Ave & Montgomery St,40.665816,-73.95693399999999
321,5 Ave & E 135 St,40.812191,-73.937838
322,38 Ave & 29 St,40.75473,-73.93366999999999
326,E 11 St & Avenue B,40.727464206923926,-73.97950418293476
327,W 43 St & 10 Ave,40.76009437,-73.99461843
330,E 53 St & 3 Ave,40.75763227739443,-73.9693057537079
331,Broadway & W 160 St,40.835775,-73.9434
333,Market St & Cherry St,40.71076228,-73.99400398
335,E 20 St & 2 Ave,40.73587678,-73.98205027
336,5 Ave & W 131 St,40.810140000000004,-73.93973000000001
343,24 Ave & 29 St,40.7729,-73.91614200000001
345,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719
347,Clinton St & Grand St,40.71559509,-73.9870295
349,University Pl & E 14 St,40.734814,-73.992085
351,Scholes St & Manhattan Ave,40.70870368,-73.9448625
353,Broadway & Berry St,40.71044554,-73.96525063
354,Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999
358,Myrtle Ave & Grove St,40.69905,-73.91516
359,Franklin St & Dupont St,40.735640000000004,-73.95866
361,W 36 St & 9 Ave,40.754623240291046,-73.99516761302948
362,W 63 St & Broadway,40.77163851,-73.98261428
363,Monroe St & Bedford Ave,40.6851443,-73.95380904
365,Frederick Douglass Blvd & W 117 St,40.805159,-73.95469200000001
366,31 St & Newtown Ave,40.7675487799971,-73.92093345522879
372,E 60 St & York Ave,40.759107,-73.959223
373,E 118 St & 1 Ave,40.797470000000004,-73.93504
375,Rivington St & Ridge St,40.71850211,-73.98329859
376,E 85 St & York Ave,40.77536905,-73.94803392
377,21 St & Queens Plaza North,40.75325964,-73.94335788
378,3 Ave & E 112 St,40.795508,-73.94160600000001
379,Greenwich Ave & Charles St,40.735238,-74.000271
380,Jerome Ave & E 164 St,40.831444,-73.926226
383,E 23 St & 1 Ave,40.736502,-73.97809472
385,Fairview Ave & Linden St,40.70694,-73.90632
386,Broadway & Battery Pl,40.70463334,-74.01361706
389,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
391,1 Ave & E 94 St,40.78172120000001,-73.94594000000001
393,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
398,Grand St & Elizabeth St,40.718821999999996,-73.99596
401,Clinton St & Centre St,40.67434,-74.00194698
404,5 Av & W 139 St,40.815484000000005,-73.935856
405,Leonard St & Maujer St,40.71036854235229,-73.94705951213838
406,E 102 St & 1 Ave,40.7869946,-73.94164802
408,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928
410,Halsey St & Broadway,40.68565,-73.91564
411,Delancey St & Eldridge St,40.719383,-73.991479
413,W 84 St & Broadway,40.7867947,-73.977112
416,E 39 St & Lexington Ave,40.74949854602521,-73.97729203113158
423,W 24 St & 7 Ave,40.74487634,-73.99529885
428,Madison Ave & E 82 St,40.7781314,-73.96069399
430,6 St & 7 Ave,40.668662700000006,-73.97988067
431,Jackson St & Leonard St,40.716380319735606,-73.94821286201476
436,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
437,6 Ave & W 45 St,40.756951,-73.98263100000001
439,Plaza Dr & W 170 St,40.840484000000004,-73.917946
442,Audobon Ave & W 179 St,40.847305,-73.933291
443,Carroll St & Columbia St,40.6830456,-74.00348559
445,W 30 St & 10 Ave,40.752694,-74.002353
446,E 72 St & York Ave,40.76663814,-73.95348296
447,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465
450,Irving Ave & Jefferson St,40.70538,-73.92535
451,Broadway & Moylan Pl,40.8143256,-73.9590255
453,E 51 St & 2 Ave,40.755293,-73.967641
454,W 22 St & 8 Ave,40.74475148,-73.99915362
456,Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063
457,W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028
458,E 48 St & 3 Ave,40.7546011026,-73.971878855
466,Menahan St & Onderdonk Ave,40.705529999999996,-73.9096
467,W 67 St & Broadway,40.77492513,-73.98266566
470,12 Ave & W 40 St,40.76087502,-74.00277668
471,Broadway & W 56 St,40.7652654,-73.98192338
477,Norfolk St & Broome St,40.7172274,-73.98802084
479,Bushwick Ave & Harman St,40.69356,-73.92524
480,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121
482,Woodward Ave & Harman St,40.70793,-73.91091999999999
485,E 89 St & 3 Ave,40.7806284,-73.9521667
486,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187
488,W 87 St & Amsterdam Ave,40.78839,-73.9747
490,W 100 St & Manhattan Ave,40.795,-73.9645
492,23 Ave & 27 St,40.776165,-73.9153175
495,6 Ave & Broome St,40.72430832160217,-74.00473035871983
497,Riverside Dr & W 72 St,40.780577990103346,-73.98562431335448
498,E 115 St & Lexington Ave,40.797911,-73.9423
499,Goble Pl & Macombs Rd,40.844075,-73.91725600000001
500,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
502,Knickerbocker Ave & Halsey St,40.693000000000005,-73.90824
507,11 Ave & W 59 St,40.771496710544405,-73.99046033620834
510,Pike St & Monroe St,40.71173107,-73.99193043
511,Sullivan Pl & Franklin Ave,40.66407983678161,-73.96025128666679
513,E 82 St & East End Ave,40.7724607,-73.9468208
514,Berry St & N 8 St,40.7190095,-73.95852515
515,31 Ave & 30 St,40.7647,-73.9240312
516,W 42 St & 8 Ave,40.75756989999999,-73.99098507
519,MacDougal St & Washington Sq,40.73226398,-73.99852205
522,E 81 St & 3 Ave,40.77573034,-73.9567526
525,Kingston Ave & Herkimer St,40.67890679,-73.94142771
526,Broad St & Bridge St,40.70365182,-74.01167797
528,Forsyth St & Canal St,40.715815500000005,-73.99422366
529,Cathedral Pkwy & Broadway,40.804213,-73.96699104
530,11 St & 43 Ave,40.7519071,-73.94791190000001
532,3 St & 3 Ave,40.675070500000004,-73.98775226
533,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
536,Great Jones St,40.72743423,-73.99379025
537,Columbus Ave & W 95 St,40.7919557,-73.968087
541,Rogers Ave & Sterling St,40.6630619,-73.95387459999999
545,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373
547,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
551,Nassau Ave & Russell St,40.725570000000005,-73.94434
552,Nassau St & Navy St,40.69839895,-73.98068914
555,34 Ave & 38 St,40.756913,-73.921631
556,Carmine St & 6 Ave,40.73038599,-74.00214988
560,S 5 Pl & S 5 St,40.710451,-73.960876
562,10 St & 2 Ave,40.671907,-73.993612
566,Menahan St & Seneca Ave,40.704609999999995,-73.91054
567,Clinton Ave & Myrtle Ave,40.693261,-73.968896
568,W 100 St & Broadway,40.797372100000004,-73.97041192
569,W 146 St & Broadway,40.826969,-73.949738
576,Grand St & Havemeyer St,40.71286844,-73.95698119
577,Broadway & W 41 St,40.75513557,-73.98658032
581,W 40 St & 5 Ave,40.752269,-73.982079
582,E 55 St & 2 Ave,40.75797322,-73.96603308
583,Lexington Ave & Classon Ave,40.68676793,-73.95928168
589,John St & William St,40.70862144,-74.00722156
592,Park Ave & E 124 St,40.8045555,-73.93968609999999
593,Front St & Maiden Ln,40.70530954,-74.00612572
595,1 Ave & E 78 St,40.77140426,-73.9535166
599,Bushwick Ave & Forrest St,40.700759999999995,-73.93641
602,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
610,7 Ave & Central Park South,40.7667405590595,-73.9790689945221
612,E 135 St & St Ann's Ave,40.805089,-73.91888900000001
614,Southern Blvd & E 149 St,40.811892,-73.90419200000001
616,W 144 St & Adam Clayton Powell Blvd,40.820877,-73.939249
626,E 161 St & Park Ave,40.824811,-73.91640699999999
627,W 87 St & West End Ave,40.789621999999994,-73.97757
628,Broadway & Kosciuszko St,40.693290000000005,-73.92851999999999
629,Broadway & E 22 St,40.740343200000005,-73.98955109
631,Harman St & Seneca Ave,40.70577,-73.91292
634,Melrose Ave & E 154 St,40.819609,-73.916071
643,Dean St & Franklin Ave,40.67759206937376,-73.95563721656801
645,3 Ave & Schermerhorn St,40.68683208,-73.9796772
