end station name,trips
Cambridge Pl & Gates Ave,408
Canal St & Rutgers St,2816
Carlton Ave & Dean St,596
Carlton Ave & Flushing Ave,575
Carlton Ave & Park Ave,535
Carmine St & 6 Ave,3470
Carroll St & 5 Ave,737
Carroll St & 6 Ave,617
Carroll St & Bond St,485
Carroll St & Columbia St,498
Carroll St & Franklin Ave,78
Carroll St & Smith St,835
Carroll St & Washington Ave,119
Cathedral Pkwy & Broadway,737
Catherine St & Monroe St,1348
Cedar St & Evergreen Ave,39
Cedar St & Myrtle Ave,124
Center Blvd & 48 Ave,250
Center Blvd & 51 Ave,214
Central Ave & Covert St,45
Central Ave & Decatur St,35
Central Ave & Flushing Ave,82
Central Ave & Himrod St,70
Central Ave & Melrose St,31
Central Ave & Starr Street,96
Central Ave & Weirfield St,89
Central Ave & Woodbine St,97
Central Park North & Adam Clayton Powell Blvd,977
Central Park S & 6 Ave,2105
Central Park W & W 96 St,959
Central Park West & W 100 St,590
Central Park West & W 102 St,320
Central Park West & W 68 St,1459
Central Park West & W 72 St,1621
Central Park West & W 76 St,855
Central Park West & W 82 St,1019
Central Park West & W 85 St,1400
Centre St & Chambers St,1914
Centre St & Seneca Ave,9
Centre St & Worth St,975
Cherry St,763
Christopher St & Greenwich St,4008
Clark St & Henry St,1215
Classon Ave & St Marks Ave,474
Clermont Ave & Lafayette Ave,473
Clermont Ave & Park Ave,415
Cleveland Pl & Spring St,3460
Cliff St & Fulton St,1427
Clinton Ave & Flushing Ave,302
Clinton Ave & Myrtle Ave,1240
Clinton St & 4 Place,381
Clinton St & Centre St,127
Clinton St & Grand St,2870
Clinton St & Joralemon St,1146
Clinton St & Union St,469
Coffey St & Conover St,166
Columbia Heights & Cranberry St,289
Columbia St & Degraw St,482
Columbia St & Kane St,384
Columbia St & Lorraine St,110
Columbia St & Rivington St,1240
Columbia St & W 9 St,182
Columbus Ave & W 103 St,162
Columbus Ave & W 72 St,2545
Columbus Ave & W 95 St,1643
Commerce St & Van Brunt St,178
Concord St & Bridge St,362
Congress St & Clinton St,794
Cooper Square & Astor Pl,3722
